origin_block;-3,-60,23
minecraft:packed_ice,-5,-60,16
minecraft:packed_ice,-4,-60,16
minecraft:packed_ice,-4,-59,16
minecraft:packed_ice,-5,-60,17
minecraft:packed_ice,-4,-60,17
minecraft:packed_ice,-3,-60,17
minecraft:packed_ice,-5,-59,17
minecraft:packed_ice,-4,-59,17
minecraft:packed_ice,-5,-58,17
minecraft:packed_ice,-4,-58,17
minecraft:packed_ice,-5,-57,17
minecraft:packed_ice,-5,-56,17
minecraft:packed_ice,-4,-60,18
minecraft:packed_ice,-4,-59,18
minecraft:packed_ice,-4,-60,23
minecraft:packed_ice,-3,-60,23
minecraft:packed_ice,-3,-59,23
minecraft:packed_ice,-3,-58,23
minecraft:packed_ice,-4,-60,24
