origin_block;-27,-57,27
minecraft:packed_ice,-30,-60,26
minecraft:packed_ice,-30,-60,27
minecraft:packed_ice,-29,-60,25
minecraft:packed_ice,-29,-60,26
minecraft:packed_ice,-29,-60,27
minecraft:packed_ice,-29,-60,28
minecraft:packed_ice,-29,-60,29
minecraft:packed_ice,-29,-59,26
minecraft:packed_ice,-29,-59,27
minecraft:packed_ice,-29,-59,28
minecraft:packed_ice,-29,-58,27
minecraft:packed_ice,-28,-60,24
minecraft:packed_ice,-28,-60,25
minecraft:packed_ice,-28,-60,26
minecraft:packed_ice,-28,-60,27
minecraft:packed_ice,-28,-60,28
minecraft:packed_ice,-28,-60,29
minecraft:packed_ice,-28,-59,25
minecraft:packed_ice,-28,-59,26
minecraft:packed_ice,-28,-59,27
minecraft:packed_ice,-28,-59,28
minecraft:packed_ice,-28,-59,29
minecraft:packed_ice,-28,-58,26
minecraft:packed_ice,-28,-58,27
minecraft:packed_ice,-28,-58,28
minecraft:packed_ice,-28,-57,27
minecraft:packed_ice,-28,-56,27
minecraft:packed_ice,-27,-60,25
minecraft:packed_ice,-27,-60,26
minecraft:packed_ice,-27,-60,27
minecraft:packed_ice,-27,-60,28
minecraft:packed_ice,-27,-60,29
minecraft:packed_ice,-27,-60,30
minecraft:packed_ice,-27,-59,25
minecraft:packed_ice,-27,-59,26
minecraft:packed_ice,-27,-59,27
minecraft:packed_ice,-27,-59,28
minecraft:packed_ice,-27,-58,26
minecraft:packed_ice,-27,-58,27
minecraft:packed_ice,-27,-58,28
minecraft:packed_ice,-27,-57,26
minecraft:packed_ice,-27,-57,27
minecraft:packed_ice,-27,-57,28
minecraft:packed_ice,-27,-56,26
minecraft:packed_ice,-27,-56,27
minecraft:packed_ice,-27,-56,28
minecraft:packed_ice,-27,-55,27
minecraft:packed_ice,-27,-55,28
minecraft:packed_ice,-27,-54,27
minecraft:packed_ice,-27,-53,27
minecraft:packed_ice,-26,-60,24
minecraft:packed_ice,-26,-60,25
minecraft:packed_ice,-26,-60,26
minecraft:packed_ice,-26,-60,27
minecraft:packed_ice,-26,-60,28
minecraft:packed_ice,-26,-60,29
minecraft:packed_ice,-26,-59,26
minecraft:packed_ice,-26,-59,27
minecraft:packed_ice,-26,-59,28
minecraft:packed_ice,-26,-58,26
minecraft:packed_ice,-26,-58,27
minecraft:packed_ice,-26,-57,26
minecraft:packed_ice,-26,-57,27
minecraft:packed_ice,-26,-56,27
minecraft:packed_ice,-25,-60,25
minecraft:packed_ice,-25,-60,26
minecraft:packed_ice,-25,-60,27
minecraft:packed_ice,-25,-60,28
minecraft:packed_ice,-25,-59,26
minecraft:packed_ice,-25,-59,27
minecraft:packed_ice,-24,-60,27
